,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
527244,id2324856,1,2016-04-16 12:05:12,2016-04-16 12:16:09,4,-74.01466369628906,40.70945739746094,-74.00049591064453,40.72394943237305,N,657
577750,id3143241,2,2016-01-17 11:53:50,2016-01-17 12:03:42,1,-74.00437927246094,40.74182510375977,-73.99190521240234,40.74331283569336,N,592
458965,id1834569,2,2016-04-02 21:20:35,2016-04-02 21:41:20,6,-73.98600006103516,40.74069213867188,-73.98089599609375,40.69739532470703,N,1245
632766,id0667036,1,2016-04-03 10:08:59,2016-04-03 10:17:04,2,-73.98052978515625,40.75230026245117,-73.99054718017578,40.75071334838867,N,485
684115,id1868082,1,2016-06-10 00:09:33,2016-06-10 00:27:35,1,-73.9913558959961,40.717597961425774,-73.98619842529298,40.7556037902832,N,1082
1375967,id2509240,2,2016-06-16 17:15:58,2016-06-16 17:44:19,5,-74.0075912475586,40.71484756469727,-74.00067901611328,40.76177597045898,N,1701
1112651,id0137555,2,2016-05-03 20:03:57,2016-05-03 20:11:59,6,-73.99166870117188,40.726646423339844,-73.99565887451173,40.73276138305664,N,482
187838,id2948916,2,2016-05-15 22:06:42,2016-05-15 22:13:49,1,-73.99098205566406,40.75019073486328,-73.98253631591797,40.76715850830078,N,427
169001,id3252941,2,2016-05-20 15:02:36,2016-05-20 15:07:27,1,-74.00218963623048,40.72983932495117,-73.9972915649414,40.72566223144531,N,291
992593,id0412985,2,2016-04-05 19:29:18,2016-04-06 19:28:32,1,-74.00324249267578,40.73274230957031,-74.0062255859375,40.71187973022461,N,86354
433906,id3082543,2,2016-01-03 17:40:08,2016-01-03 17:55:13,1,-74.00314331054686,40.73292922973633,-73.9871597290039,40.7677001953125,N,905
264669,id1835068,2,2016-03-09 10:33:48,2016-03-09 10:47:31,1,-73.9695053100586,40.79795837402344,-74.00296020507811,40.7496223449707,N,823
367392,id1538021,2,2016-06-06 09:57:38,2016-06-06 10:02:00,1,-73.97191619873048,40.75840759277344,-73.97838592529298,40.75847625732422,N,262
689972,id3876515,1,2016-02-29 10:12:42,2016-02-29 10:14:36,1,-73.98755645751955,40.770416259765625,-73.98609161376955,40.777507781982415,N,114
370158,id0374135,2,2016-01-03 17:34:08,2016-01-03 17:40:57,2,-73.98287963867188,40.76179885864258,-73.99169921875,40.74982070922852,N,409
54708,id0852768,2,2016-05-26 12:11:43,2016-05-26 12:19:18,1,-73.9809036254883,40.78092956542969,-73.96592712402342,40.79005813598633,N,455
1402346,id3411204,1,2016-01-02 11:07:54,2016-01-02 11:15:36,2,-73.96669006347656,40.80426025390625,-73.97795104980467,40.78649520874024,N,462
419112,id3956155,2,2016-03-29 19:22:04,2016-03-29 19:29:06,1,-73.9747085571289,40.74654006958008,-73.98970031738281,40.73432922363281,N,422
288009,id2693653,1,2016-06-13 23:40:56,2016-06-14 00:05:32,1,-73.98628997802734,40.730464935302734,-73.97903442382812,40.64686965942383,N,1476
997149,id0511229,1,2016-04-06 23:57:45,2016-04-07 00:32:28,2,-73.98703765869139,40.7566795349121,-73.93914031982422,40.6600341796875,N,2083
