,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
121883,id1210838,1,2016-04-04 20:23:51,2016-04-04 20:38:50,1,-73.98888397216798,40.7635498046875,-73.99105072021484,40.73323822021485,N,899
251133,id0198844,1,2016-03-19 07:24:00,2016-03-19 07:37:23,1,-73.95757293701173,40.76597213745117,-73.99158477783203,40.74960708618164,N,803
53945,id1023531,2,2016-01-10 14:20:50,2016-01-10 14:27:46,3,-73.96704864501955,40.76167678833008,-73.95178985595702,40.76948928833008,N,416
588230,id0499641,1,2016-03-25 10:32:56,2016-03-25 10:44:02,1,-74.0020751953125,40.74557876586913,-74.01304626464844,40.71522521972656,N,666
1212895,id3768850,1,2016-03-02 09:36:50,2016-03-02 09:43:51,1,-73.99132537841797,40.74980926513672,-73.98681640625,40.740249633789055,N,421
1012675,id0162460,1,2016-03-23 20:54:01,2016-03-23 21:14:05,1,-73.94409942626955,40.77599716186523,-74.00956726074219,40.72604751586913,N,1204
287905,id3307437,2,2016-01-09 07:33:33,2016-01-09 07:50:32,1,-73.9732894897461,40.64642333984375,-74.01620483398438,40.71565628051758,N,1019
686475,id1241121,1,2016-01-05 14:42:12,2016-01-05 14:47:04,1,-73.99286651611328,40.74816131591797,-73.99227142333984,40.73951721191406,N,292
978637,id2612195,2,2016-01-19 23:16:43,2016-01-19 23:45:57,1,-73.99198913574219,40.754249572753906,-74.00921630859375,40.71337890625,N,1754
1275842,id3699752,2,2016-04-14 07:49:46,2016-04-14 08:28:53,1,-73.92503356933594,40.74411010742188,-73.99793243408203,40.71260070800781,N,2347
1332225,id3732614,2,2016-05-29 05:17:42,2016-05-29 05:24:14,4,-73.95915985107422,40.8201904296875,-73.94202423095702,40.84269714355469,N,392
1004255,id1496962,2,2016-03-24 22:03:38,2016-03-24 22:22:21,2,-73.94812774658203,40.7739486694336,-73.9794921875,40.752838134765625,N,1123
17795,id2052852,1,2016-02-15 21:40:38,2016-02-15 21:42:23,1,-73.97651672363281,40.7645263671875,-73.96755981445312,40.76071166992188,N,105
1021761,id0343909,2,2016-05-01 17:28:47,2016-05-01 17:35:06,5,-73.9537124633789,40.766639709472656,-73.9578399658203,40.78217697143555,N,379
201527,id2460875,2,2016-04-13 11:08:21,2016-04-13 11:28:09,1,-73.9625015258789,40.7747917175293,-73.97180938720702,40.76623153686523,N,1188
480353,id2165129,2,2016-02-02 08:39:42,2016-02-02 08:45:59,1,-74.00537872314453,40.74897003173828,-73.999755859375,40.753665924072266,N,377
979695,id2334034,2,2016-02-08 21:14:14,2016-02-08 21:22:46,1,-73.96486663818358,40.80655288696289,-73.9518051147461,40.80950164794922,N,512
81852,id0204575,1,2016-06-03 13:53:52,2016-06-03 13:58:47,1,-73.94680023193358,40.77660369873047,-73.95409393310547,40.76704406738281,N,295
646889,id2720625,2,2016-02-04 12:54:40,2016-02-04 13:26:48,1,-73.96727752685547,40.76055908203125,-73.9901123046875,40.75212097167969,N,1928
518027,id0409602,1,2016-03-14 14:38:25,2016-03-14 15:26:58,1,-73.9900894165039,40.73473358154297,-73.97431182861328,40.67243576049805,N,2913
95544,id0476571,2,2016-02-17 15:49:21,2016-02-17 15:52:11,1,-74.00711822509766,40.7053108215332,-74.00787353515625,40.71033096313477,N,170
151720,id1324500,1,2016-04-04 18:43:44,2016-04-04 18:59:15,1,-73.97315216064453,40.76132583618164,-73.96642303466798,40.79322052001953,N,931
1298987,id3063888,1,2016-02-06 19:10:06,2016-02-06 19:21:26,1,-73.98921966552734,40.71863555908203,-73.96136474609375,40.71445083618164,N,680
274353,id3851810,1,2016-02-22 14:05:41,2016-02-22 14:14:00,3,-74.01687622070312,40.706218719482415,-74.00874328613281,40.71474075317383,N,499
1139103,id3247590,1,2016-05-07 00:09:23,2016-05-07 00:23:56,1,-74.0031967163086,40.74376678466797,-73.975830078125,40.754127502441406,N,873
121653,id2726880,1,2016-04-15 22:48:04,2016-04-15 23:01:16,1,-73.96275329589844,40.76266860961913,-73.98242950439453,40.751441955566406,N,792
398619,id3178687,2,2016-02-10 21:38:42,2016-02-10 21:50:38,6,-73.98522186279298,40.74471664428711,-73.95301055908203,40.76984024047852,N,716
429945,id1446135,2,2016-02-21 18:19:35,2016-02-21 18:20:43,1,-73.95621490478516,40.77874374389648,-73.95793151855469,40.7762107849121,N,68
1324906,id1225812,2,2016-02-17 22:23:06,2016-02-17 22:31:26,3,-73.97615814208984,40.760162353515625,-73.99407958984375,40.75503158569336,N,500
1343299,id1096392,2,2016-01-09 17:10:34,2016-01-09 17:35:24,1,-73.9973373413086,40.7168197631836,-73.92835998535155,40.73823165893555,N,1490
305655,id1933671,2,2016-02-21 22:09:44,2016-02-21 22:20:53,2,-73.97509765625,40.73554611206055,-73.98019409179686,40.780540466308594,N,669
1386172,id0229695,2,2016-06-28 19:10:33,2016-06-28 19:19:23,6,-73.98924255371094,40.742820739746094,-73.98209381103516,40.72776412963867,N,530
105247,id2306728,1,2016-06-13 10:26:18,2016-06-13 10:31:59,1,-73.971923828125,40.75779724121094,-73.9795379638672,40.76018142700195,N,341
713097,id3022501,1,2016-04-03 16:42:38,2016-04-03 16:52:01,1,-73.94522857666014,40.80854034423828,-73.95350646972656,40.82212829589844,N,563
1399590,id0340064,2,2016-06-13 17:39:52,2016-06-13 18:00:33,4,-73.94461059570312,40.77935028076172,-73.98875427246094,40.73490905761719,N,1241
795116,id1782757,1,2016-03-22 13:53:53,2016-03-22 14:00:07,1,-74.00830841064453,40.714500427246094,-74.00672912597656,40.7301025390625,N,374
241984,id2673192,1,2016-03-30 20:51:50,2016-03-30 21:09:18,1,-73.92784118652342,40.76402282714844,-73.9901351928711,40.7344970703125,N,1048
273349,id2222820,1,2016-02-29 11:28:31,2016-02-29 11:39:58,1,-73.97185516357422,40.74977111816406,-73.96712493896483,40.76089859008789,N,687
1300149,id0464235,2,2016-05-04 11:17:05,2016-05-04 11:27:11,5,-73.9931411743164,40.76115036010742,-74.00674438476562,40.74145126342773,N,606
1241274,id2179623,1,2016-04-29 12:28:28,2016-04-29 12:35:44,1,-73.98033142089844,40.75110626220703,-73.97065734863281,40.76299285888672,N,436
650343,id0280775,1,2016-02-14 20:26:16,2016-02-14 20:43:30,1,-74.009033203125,40.71786880493164,-73.97845458984375,40.76653289794922,N,1034
1371647,id0892100,1,2016-01-10 01:02:57,2016-01-10 01:07:24,2,-73.98057556152342,40.73004150390625,-73.98780822753906,40.73833084106445,N,267
828418,id3274895,2,2016-04-21 19:12:34,2016-04-21 20:00:04,1,-73.98927307128906,40.73748016357422,-73.7834701538086,40.643798828125,N,2850
73492,id3671268,1,2016-06-18 08:54:29,2016-06-18 08:59:41,1,-74.00425720214845,40.73052597045898,-73.9971160888672,40.72519302368164,N,312
1457884,id0340157,1,2016-06-18 17:56:44,2016-06-18 18:32:38,1,-73.94284057617188,40.84133911132813,-74.0089111328125,40.72624969482422,N,2154
117970,id2997820,1,2016-05-04 15:22:11,2016-05-04 15:40:24,2,-73.95384979248048,40.7817611694336,-73.96343994140625,40.75764083862305,N,1093
786195,id0459170,1,2016-01-21 05:05:11,2016-01-21 05:16:36,1,-73.94284057617188,40.75368881225585,-73.98963165283203,40.75665283203125,N,685
815549,id0956833,2,2016-03-27 21:11:45,2016-03-27 21:14:19,1,-73.97532653808595,40.75170135498047,-73.97189331054686,40.74851989746094,N,154
162683,id0616097,2,2016-02-13 17:29:07,2016-02-13 17:36:24,1,-73.9818115234375,40.77117919921875,-73.98464965820312,40.76054000854492,N,437
833134,id3206674,2,2016-05-20 08:40:41,2016-05-20 08:46:04,1,-73.98532104492188,40.73252487182617,-74.00052642822266,40.73899841308594,N,323
1196284,id3760278,1,2016-06-23 12:42:55,2016-06-23 12:53:11,3,-73.95323181152342,40.76770401000977,-73.94288635253906,40.7899169921875,N,616
908838,id2714567,2,2016-02-06 23:28:40,2016-02-06 23:32:25,5,-73.98771667480467,40.75551986694336,-73.99565124511719,40.758888244628906,N,225
1057734,id2793433,1,2016-03-23 15:28:01,2016-03-23 15:52:39,1,-73.95760345458984,40.78202438354492,-73.98977661132812,40.73700714111328,N,1478
216565,id1482060,2,2016-02-24 00:45:25,2016-02-24 01:03:23,1,-73.99462890625,40.72604751586913,-73.96331024169923,40.67546081542969,N,1078
